original_index,review_text,review_text_processed,review_text_tokenized,polarity,rating,kfold_polarity,kfold_rating
80507,Chegou rápido e é como eu esperava!,chegou rapido e e como eu esperava!,"['chegou', 'rapido', 'como', 'eu', 'esperava']",1.0,5,10,10
69488,Muito bom recomendo ,muito bom recomendo ,"['muito', 'bom', 'recomendo']",1.0,5,2,2
26565,"Produto chegou com a embalagem em péssimo estado, faltando componentes para montagem e danificado, nao recomendo.","produto chegou com a embalagem em pessimo estado, faltando componentes para montagem e danificado, nao recomendo.","['produto', 'chegou', 'com', 'embalagem', 'em', 'pessimo', 'estado', 'faltando', 'componentes', 'para', 'montagem', 'danificado', 'nao', 'recomendo']",0.0,1,1,1
23215,É um bom vendedor.,e um bom vendedor.,"['um', 'bom', 'vendedor']",1.0,4,6,6
36566,"A targaryen para entrega de bijuterias e relógios foi perfeita, mas este papel não. ","a targaryen para entrega de bijuterias e relogios foi perfeita, mas este papel nao. ","['targaryen', 'para', 'entrega', 'de', 'bijuterias', 'relogios', 'foi', 'perfeita', 'mas', 'este', 'papel', 'nao']",0.0,1,3,3
46990,"Muito bom, gostei do produto. ","muito bom, gostei do produto. ","['muito', 'bom', 'gostei', 'do', 'produto']",1.0,4,3,3
22256,"Gostei muito, chegou bem rápido , o produto é ainda melhor que eu esperava.","gostei muito, chegou bem rapido , o produto e ainda melhor que eu esperava.","['gostei', 'muito', 'chegou', 'bem', 'rapido', 'produto', 'ainda', 'melhor', 'que', 'eu', 'esperava']",1.0,5,1,1
11574,Entrega no prazo!!! Obrigada,entrega no prazo!!! obrigada,"['entrega', 'no', 'prazo', 'obrigada']",1.0,5,10,10
22671,A compra do produto e sua entrega foram realizadas de forma satisfatória Naõ houve contratempo algum Tudo correu sem maiores contratempos ,a compra do produto e sua entrega foram realizadas de forma satisfatoria nao houve contratempo algum tudo correu sem maiores contratempos ,"['compra', 'do', 'produto', 'sua', 'entrega', 'foram', 'realizadas', 'de', 'forma', 'satisfatoria', 'nao', 'houve', 'contratempo', 'algum', 'tudo', 'correu', 'sem', 'maiores', 'contratempos']",1.0,5,4,4
83384,Muito bom comprar na stark,muito bom comprar na stark,"['muito', 'bom', 'comprar', 'na', 'stark']",1.0,4,1,1
92678,Produto muito bom. Loja como sempre surpreendendo pelo OTIMO ATENDIMENTO ,produto muito bom. loja como sempre surpreendendo pelo otimo atendimento ,"['produto', 'muito', 'bom', 'loja', 'como', 'sempre', 'surpreendendo', 'pelo', 'otimo', 'atendimento']",1.0,5,5,5
81309,A empresa targaryen deixou a desejar com o envio do produto na cor errada.,a empresa targaryen deixou a desejar com o envio do produto na cor errada.,"['empresa', 'targaryen', 'deixou', 'desejar', 'com', 'envio', 'do', 'produto', 'na', 'cor', 'errada']",1.0,4,5,6
60850,"O produto solicitado foi entregue com algum atraso mas em perfeito estado,Muito Obrigado.","o produto solicitado foi entregue com algum atraso mas em perfeito estado,muito obrigado.","['produto', 'solicitado', 'foi', 'entregue', 'com', 'algum', 'atraso', 'mas', 'em', 'perfeito', 'estado', 'muito', 'obrigado']",1.0,4,3,3
99633,"veio com manchas de gracha como se tivesse sido recondicionado e não veio com a trava de segurança.Embalado em folhas de jornal numa caixa,não é 100%. lannister.com fiscalizar mais. Espero um contato","veio com manchas de gracha como se tivesse sido recondicionado e nao veio com a trava de seguranca.embalado em folhas de jornal numa caixa,nao e 100%. lannister.com fiscalizar mais. espero um contato","['veio', 'com', 'manchas', 'de', 'gracha', 'como', 'se', 'tivesse', 'sido', 'recondicionado', 'nao', 'veio', 'com', 'trava', 'de', 'seguranca', 'embalado', 'em', 'folhas', 'de', 'jornal', 'numa', 'caixa', 'nao', '100', 'lannister', 'com', 'fiscalizar', 'mais', 'espero', 'um', 'contato']",0.0,1,5,5
31161,Muito bom obrigado e bom de mais ,muito bom obrigado e bom de mais ,"['muito', 'bom', 'obrigado', 'bom', 'de', 'mais']",1.0,5,8,8
21322,ótimo produdto,otimo produdto,"['otimo', 'produdto']",1.0,4,10,10
27457,Bom,bom,['bom'],1.0,5,4,4
72637,"Bom atendimento de rastreabilidade.
Prazo excelente.","bom atendimento de rastreabilidade.
prazo excelente.","['bom', 'atendimento', 'de', 'rastreabilidade', 'prazo', 'excelente']",1.0,5,10,10
60574,Era para ser entregue dia 9/03 e ate o momento nao chegou ainda o meu pedido.,era para ser entregue dia 9/03 e ate o momento nao chegou ainda o meu pedido.,"['era', 'para', 'ser', 'entregue', 'dia', '03', 'ate', 'momento', 'nao', 'chegou', 'ainda', 'meu', 'pedido']",0.0,1,6,6
32152,Produto de péssima qualidade,produto de pessima qualidade,"['produto', 'de', 'pessima', 'qualidade']",0.0,1,1,1
61918,"O Aparelho é bom, só faltou o fio que liga na eletricidade, vc tem que comprar.
Paguei caro e tenho ainda que comprar fio.","o aparelho e bom, so faltou o fio que liga na eletricidade, vc tem que comprar.
paguei caro e tenho ainda que comprar fio.","['aparelho', 'bom', 'so', 'faltou', 'fio', 'que', 'liga', 'na', 'eletricidade', 'vc', 'tem', 'que', 'comprar', 'paguei', 'caro', 'tenho', 'ainda', 'que', 'comprar', 'fio']",1.0,4,1,1
71260,"Qualidade razoável, vale o preço.","qualidade razoavel, vale o preco.","['qualidade', 'razoavel', 'vale', 'preco']",1.0,4,7,7
63017,É garantido e de confiança .,e garantido e de confianca .,"['garantido', 'de', 'confianca']",1.0,4,7,7
90328,Exatamente o demonstrado no anúncio e entrega rápida.,exatamente o demonstrado no anuncio e entrega rapida.,"['exatamente', 'demonstrado', 'no', 'anuncio', 'entrega', 'rapida']",1.0,5,1,1
49217,"O produto veio sem os suportes laterais, já enviei 3 emails e não recebi nenhum posicionamento até o momento, muito insatisfeito, falta de organização!","o produto veio sem os suportes laterais, ja enviei 3 emails e nao recebi nenhum posicionamento ate o momento, muito insatisfeito, falta de organizacao!","['produto', 'veio', 'sem', 'os', 'suportes', 'laterais', 'ja', 'enviei', 'emails', 'nao', 'recebi', 'nenhum', 'posicionamento', 'ate', 'momento', 'muito', 'insatisfeito', 'falta', 'de', 'organizacao']",0.0,1,4,4
38049,produto veio faltando acessórios e ate agora não recebi ,produto veio faltando acessorios e ate agora nao recebi ,"['produto', 'veio', 'faltando', 'acessorios', 'ate', 'agora', 'nao', 'recebi']",0.0,1,9,9
49846,Muito bom custo benefício ,muito bom custo beneficio ,"['muito', 'bom', 'custo', 'beneficio']",1.0,5,3,3
69075,"O produto chegou estourado, vazando creme pelas beiradas","o produto chegou estourado, vazando creme pelas beiradas","['produto', 'chegou', 'estourado', 'vazando', 'creme', 'pelas', 'beiradas']",0.0,2,2,1
51757,"Não instalei o pneu ainda, mas parece ser de otima qualidade, super recomendo esta loja","nao instalei o pneu ainda, mas parece ser de otima qualidade, super recomendo esta loja","['nao', 'instalei', 'pneu', 'ainda', 'mas', 'parece', 'ser', 'de', 'otima', 'qualidade', 'super', 'recomendo', 'esta', 'loja']",1.0,5,5,5
38730,Em relação à esta entrega está tudo ok mas realizei uma outra compra autorizada no dia 26 deste mês da loja ponto do nerd e não entendo porque até agora não chegou se a loja está na minha cidade,em relacao a esta entrega esta tudo ok mas realizei uma outra compra autorizada no dia 26 deste mes da loja ponto do nerd e nao entendo porque ate agora nao chegou se a loja esta na minha cidade,"['em', 'relacao', 'esta', 'entrega', 'esta', 'tudo', 'ok', 'mas', 'realizei', 'uma', 'outra', 'compra', 'autorizada', 'no', 'dia', '26', 'deste', 'mes', 'da', 'loja', 'ponto', 'do', 'nerd', 'nao', 'entendo', 'porque', 'ate', 'agora', 'nao', 'chegou', 'se', 'loja', 'esta', 'na', 'minha', 'cidade']",1.0,4,9,9
35552,"Entregue no prazo, produto embalado corretamente.","entregue no prazo, produto embalado corretamente.","['entregue', 'no', 'prazo', 'produto', 'embalado', 'corretamente']",1.0,4,9,9
16190,"Comprei na quarta-feira (11/04) e na sexta-feira (13/04) chegou o produto. Melhor do que imaginava, produto com qualidade. ","comprei na quarta-feira (11/04) e na sexta-feira (13/04) chegou o produto. melhor do que imaginava, produto com qualidade. ","['comprei', 'na', 'quarta', 'feira', '11', '04', 'na', 'sexta', 'feira', '13', '04', 'chegou', 'produto', 'melhor', 'do', 'que', 'imaginava', 'produto', 'com', 'qualidade']",1.0,5,3,3
24112,"Produto top pra quem que apaixonado por fazer drinks, recomendo o produto e a loja tbm que entregou no até antes do prazo.","produto top pra quem que apaixonado por fazer drinks, recomendo o produto e a loja tbm que entregou no ate antes do prazo.","['produto', 'top', 'pra', 'quem', 'que', 'apaixonado', 'por', 'fazer', 'drinks', 'recomendo', 'produto', 'loja', 'tbm', 'que', 'entregou', 'no', 'ate', 'antes', 'do', 'prazo']",1.0,4,6,6
72336,"Apenas um detalhe, a película de vidro não é recomendada para o Xperia XA1 pois a sua tela é abaulada e a película não adere nas margens. A película recomendada é de Gel. ","apenas um detalhe, a pelicula de vidro nao e recomendada para o xperia xa1 pois a sua tela e abaulada e a pelicula nao adere nas margens. a pelicula recomendada e de gel. ","['apenas', 'um', 'detalhe', 'pelicula', 'de', 'vidro', 'nao', 'recomendada', 'para', 'xperia', 'xa1', 'pois', 'sua', 'tela', 'abaulada', 'pelicula', 'nao', 'adere', 'nas', 'margens', 'pelicula', 'recomendada', 'de', 'gel']",0.0,1,4,4
84265,"Como sempre, excelente","como sempre, excelente","['como', 'sempre', 'excelente']",1.0,5,4,4
60009,Muito bom os produtos e foi entregs bem antes do prazo ,muito bom os produtos e foi entregs bem antes do prazo ,"['muito', 'bom', 'os', 'produtos', 'foi', 'entregs', 'bem', 'antes', 'do', 'prazo']",1.0,5,1,1
49570,"Ótimo produto, envio rápido e recebimento antes do previsto. Estou muito satisfeito ","otimo produto, envio rapido e recebimento antes do previsto. estou muito satisfeito ","['otimo', 'produto', 'envio', 'rapido', 'recebimento', 'antes', 'do', 'previsto', 'estou', 'muito', 'satisfeito']",1.0,5,3,3
27037,Muito obrigado pelo o contrato de vocês,muito obrigado pelo o contrato de voces,"['muito', 'obrigado', 'pelo', 'contrato', 'de', 'voces']",1.0,5,3,3
40254,"Chegou antes da data, excelente produto ","chegou antes da data, excelente produto ","['chegou', 'antes', 'da', 'data', 'excelente', 'produto']",1.0,5,10,10
60122,Meu Produto não foi entregue. ,meu produto nao foi entregue. ,"['meu', 'produto', 'nao', 'foi', 'entregue']",0.0,1,4,4
87211,"Boa tarde 
Eu não recebido produto comprado, me informaram que o endereço não estava correto e estava sim. Então peço que cancelem e me reembolsam o mais rápido possível obrigada Denise Aparecida","boa tarde 
eu nao recebido produto comprado, me informaram que o endereco nao estava correto e estava sim. entao peco que cancelem e me reembolsam o mais rapido possivel obrigada denise aparecida","['boa', 'tarde', 'eu', 'nao', 'recebido', 'produto', 'comprado', 'me', 'informaram', 'que', 'endereco', 'nao', 'estava', 'correto', 'estava', 'sim', 'entao', 'peco', 'que', 'cancelem', 'me', 'reembolsam', 'mais', 'rapido', 'possivel', 'obrigada', 'denise', 'aparecida']",0.0,2,6,5
9788,Produto veio em perfeitas condições e antes do prazo estipulado,produto veio em perfeitas condicoes e antes do prazo estipulado,"['produto', 'veio', 'em', 'perfeitas', 'condicoes', 'antes', 'do', 'prazo', 'estipulado']",1.0,5,7,7
88577,Nao lembro de ter lido no anuncio que se tratava de um produto que nao é original HP. Isto deve estar informado na publicaçao. Somente qdo usar vou saber se ele é tao bom qto o original.,nao lembro de ter lido no anuncio que se tratava de um produto que nao e original hp. isto deve estar informado na publicacao. somente qdo usar vou saber se ele e tao bom qto o original.,"['nao', 'lembro', 'de', 'ter', 'lido', 'no', 'anuncio', 'que', 'se', 'tratava', 'de', 'um', 'produto', 'que', 'nao', 'original', 'hp', 'isto', 'deve', 'estar', 'informado', 'na', 'publicacao', 'somente', 'qdo', 'usar', 'vou', 'saber', 'se', 'ele', 'tao', 'bom', 'qto', 'original']",,3,-1,9
83572,"obrigado,eu recomendo targaryen","obrigado,eu recomendo targaryen","['obrigado', 'eu', 'recomendo', 'targaryen']",1.0,5,7,7
89521,Muito bom só queria que pudesse ser maior mas mesmo assim é otimo,muito bom so queria que pudesse ser maior mas mesmo assim e otimo,"['muito', 'bom', 'so', 'queria', 'que', 'pudesse', 'ser', 'maior', 'mas', 'mesmo', 'assim', 'otimo']",1.0,5,5,5
60403,"Entregue antes do prazo, tudo certo.","entregue antes do prazo, tudo certo.","['entregue', 'antes', 'do', 'prazo', 'tudo', 'certo']",1.0,5,3,3
28764,tudo de acordo,tudo de acordo,"['tudo', 'de', 'acordo']",1.0,5,6,6
61829,mto bom,mto bom,"['mto', 'bom']",1.0,5,6,6
21809,"faz mais de 1 mes que pedi o produto e ate agora nao foi entregue ,e ainda por cima nao dao nenhuma explicao de como fica meu dinheiro
","faz mais de 1 mes que pedi o produto e ate agora nao foi entregue ,e ainda por cima nao dao nenhuma explicao de como fica meu dinheiro
","['faz', 'mais', 'de', 'mes', 'que', 'pedi', 'produto', 'ate', 'agora', 'nao', 'foi', 'entregue', 'ainda', 'por', 'cima', 'nao', 'dao', 'nenhuma', 'explicao', 'de', 'como', 'fica', 'meu', 'dinheiro']",0.0,1,4,4
39718,Produto bom ,produto bom ,"['produto', 'bom']",1.0,5,9,9
70861,"muita dificuldade e demora para a entrega. e ainda não entregaram por completo o kit de 4 pneus comprados, sendo que já foi feito o primeiro pagamento","muita dificuldade e demora para a entrega. e ainda nao entregaram por completo o kit de 4 pneus comprados, sendo que ja foi feito o primeiro pagamento","['muita', 'dificuldade', 'demora', 'para', 'entrega', 'ainda', 'nao', 'entregaram', 'por', 'completo', 'kit', 'de', 'pneus', 'comprados', 'sendo', 'que', 'ja', 'foi', 'feito', 'primeiro', 'pagamento']",0.0,1,10,10
46879,"não disponibiliza acesso para contato com o comprador. enviou apenas um dos produtos. Não houve movimentação, até o momento, para justificar a ocorrencia na entrega e a consequente devolução do valor ","nao disponibiliza acesso para contato com o comprador. enviou apenas um dos produtos. nao houve movimentacao, ate o momento, para justificar a ocorrencia na entrega e a consequente devolucao do valor ","['nao', 'disponibiliza', 'acesso', 'para', 'contato', 'com', 'comprador', 'enviou', 'apenas', 'um', 'dos', 'produtos', 'nao', 'houve', 'movimentacao', 'ate', 'momento', 'para', 'justificar', 'ocorrencia', 'na', 'entrega', 'consequente', 'devolucao', 'do', 'valor']",0.0,2,10,10
65531,Não obtive nenhuma resposta do site em relação ao atraso da entrega do produto,nao obtive nenhuma resposta do site em relacao ao atraso da entrega do produto,"['nao', 'obtive', 'nenhuma', 'resposta', 'do', 'site', 'em', 'relacao', 'ao', 'atraso', 'da', 'entrega', 'do', 'produto']",0.0,1,6,6
40917,entrega dentro do prazo,entrega dentro do prazo,"['entrega', 'dentro', 'do', 'prazo']",1.0,4,9,9
82476,"Produto atendeu as minhas espectativas, de qualidade, como descrito. ","produto atendeu as minhas espectativas, de qualidade, como descrito. ","['produto', 'atendeu', 'as', 'minhas', 'espectativas', 'de', 'qualidade', 'como', 'descrito']",1.0,4,6,6
88997,Dedicação total a você clinte.,dedicacao total a voce clinte.,"['dedicacao', 'total', 'voce', 'clinte']",1.0,5,6,6
23332,Comprei no dia 10/01. O prazo de entrega no momento da compra era de até 12 dias e até agora não chegou.,comprei no dia 10/01. o prazo de entrega no momento da compra era de ate 12 dias e ate agora nao chegou.,"['comprei', 'no', 'dia', '10', '01', 'prazo', 'de', 'entrega', 'no', 'momento', 'da', 'compra', 'era', 'de', 'ate', '12', 'dias', 'ate', 'agora', 'nao', 'chegou']",0.0,1,6,6
88941,"é linda mas solicitei devolução! ela é bem grande 
vai ficar desproporcional no meu movel","e linda mas solicitei devolucao! ela e bem grande 
vai ficar desproporcional no meu movel","['linda', 'mas', 'solicitei', 'devolucao', 'ela', 'bem', 'grande', 'vai', 'ficar', 'desproporcional', 'no', 'meu', 'movel']",1.0,4,9,9
88328,"produto chego antes do prazo de entrega, mas notei que a caixa estava bem danificada, não vou poder reotilizar a caixa para guarda o produto isso é uma pena porque a embalagem é bem bonita","produto chego antes do prazo de entrega, mas notei que a caixa estava bem danificada, nao vou poder reotilizar a caixa para guarda o produto isso e uma pena porque a embalagem e bem bonita","['produto', 'chego', 'antes', 'do', 'prazo', 'de', 'entrega', 'mas', 'notei', 'que', 'caixa', 'estava', 'bem', 'danificada', 'nao', 'vou', 'poder', 'reotilizar', 'caixa', 'para', 'guarda', 'produto', 'isso', 'uma', 'pena', 'porque', 'embalagem', 'bem', 'bonita']",1.0,4,5,5
4780,recebi uma capinha menor q meu aparelho,recebi uma capinha menor q meu aparelho,"['recebi', 'uma', 'capinha', 'menor', 'meu', 'aparelho']",,3,-1,3
31962,"Eu até recebi alguns dos produtos, porém faltou 1 óleo junto com o kit que comprei ","eu ate recebi alguns dos produtos, porem faltou 1 oleo junto com o kit que comprei ","['eu', 'ate', 'recebi', 'alguns', 'dos', 'produtos', 'porem', 'faltou', 'oleo', 'junto', 'com', 'kit', 'que', 'comprei']",,3,-1,3
14641,"Quando comprei constava um produto no estoque, uma semana dps entraram em contato falando q não tinha mais, pediram pra mim escolher outro produto, escolhi e daì falaram q meu pedido saiu do sistema.","quando comprei constava um produto no estoque, uma semana dps entraram em contato falando q nao tinha mais, pediram pra mim escolher outro produto, escolhi e dai falaram q meu pedido saiu do sistema.","['quando', 'comprei', 'constava', 'um', 'produto', 'no', 'estoque', 'uma', 'semana', 'dps', 'entraram', 'em', 'contato', 'falando', 'nao', 'tinha', 'mais', 'pediram', 'pra', 'mim', 'escolher', 'outro', 'produto', 'escolhi', 'dai', 'falaram', 'meu', 'pedido', 'saiu', 'do', 'sistema']",0.0,1,8,8
2015,"chegou tudo certo, recomendo.","chegou tudo certo, recomendo.","['chegou', 'tudo', 'certo', 'recomendo']",1.0,5,7,7
62434,Produto muito bom e de ótimo material.,produto muito bom e de otimo material.,"['produto', 'muito', 'bom', 'de', 'otimo', 'material']",1.0,5,9,9
84182,"Chegou antes do prazo , bem rápido . Super recomendo .","chegou antes do prazo , bem rapido . super recomendo .","['chegou', 'antes', 'do', 'prazo', 'bem', 'rapido', 'super', 'recomendo']",1.0,4,10,10
69621,Superou minhas expectativas.,superou minhas expectativas.,"['superou', 'minhas', 'expectativas']",1.0,4,3,3
15692,"O meu produto não chegou, estou no aguarde, o que chegou foi somente a nota fiscal. ","o meu produto nao chegou, estou no aguarde, o que chegou foi somente a nota fiscal. ","['meu', 'produto', 'nao', 'chegou', 'estou', 'no', 'aguarde', 'que', 'chegou', 'foi', 'somente', 'nota', 'fiscal']",0.0,1,2,2
20497,ok,ok,['ok'],1.0,5,4,4
12306,Recomendo !!!!,recomendo !!!!,['recomendo'],1.0,5,8,8
76458,Achei muito fino o tecido,achei muito fino o tecido,"['achei', 'muito', 'fino', 'tecido']",,3,-1,5
59652,Comprei três luminárias e só chegou uma...,comprei tres luminarias e so chegou uma...,"['comprei', 'tres', 'luminarias', 'so', 'chegou', 'uma']",0.0,1,3,3
3826,Apenas não recebi o produto!!!,apenas nao recebi o produto!!!,"['apenas', 'nao', 'recebi', 'produto']",0.0,1,3,3
54837,"chegou bem antes do prazo , produto d boa qualidade e fácil d montar","chegou bem antes do prazo , produto d boa qualidade e facil d montar","['chegou', 'bem', 'antes', 'do', 'prazo', 'produto', 'boa', 'qualidade', 'facil', 'montar']",1.0,5,7,7
63952,A caixa que veio o produto poderia ter sido mais resistente a caixa chegou praticamente acabada mas o produto não chegou a sofrer nenhum problema,a caixa que veio o produto poderia ter sido mais resistente a caixa chegou praticamente acabada mas o produto nao chegou a sofrer nenhum problema,"['caixa', 'que', 'veio', 'produto', 'poderia', 'ter', 'sido', 'mais', 'resistente', 'caixa', 'chegou', 'praticamente', 'acabada', 'mas', 'produto', 'nao', 'chegou', 'sofrer', 'nenhum', 'problema']",1.0,4,4,4
53760,"Muito Bom, Recomendo!","muito bom, recomendo!","['muito', 'bom', 'recomendo']",1.0,5,1,1
88222,Chegou dentro do prazo recomendo sim. Vou coneçar a usar. Obrigada stark.,chegou dentro do prazo recomendo sim. vou conecar a usar. obrigada stark.,"['chegou', 'dentro', 'do', 'prazo', 'recomendo', 'sim', 'vou', 'conecar', 'usar', 'obrigada', 'stark']",1.0,5,7,7
6022,"Prefiro , comprar como era antes , do processo de lojas parceiras é muito ruim as mercadorias não chegam em 1 só dia . Acaba nos prejudicando , tendo que ","prefiro , comprar como era antes , do processo de lojas parceiras e muito ruim as mercadorias nao chegam em 1 so dia . acaba nos prejudicando , tendo que ","['prefiro', 'comprar', 'como', 'era', 'antes', 'do', 'processo', 'de', 'lojas', 'parceiras', 'muito', 'ruim', 'as', 'mercadorias', 'nao', 'chegam', 'em', 'so', 'dia', 'acaba', 'nos', 'prejudicando', 'tendo', 'que']",1.0,4,5,5
2532,"O produto que eu comprei não foi entregue, já reclamei e ainda não obtive resposta.
","o produto que eu comprei nao foi entregue, ja reclamei e ainda nao obtive resposta.
","['produto', 'que', 'eu', 'comprei', 'nao', 'foi', 'entregue', 'ja', 'reclamei', 'ainda', 'nao', 'obtive', 'resposta']",0.0,1,3,3
8077,Apesar do produto não vir ao identico da compra realizada pq tenho o print da balança eu recomendo a loja mais agora com um pé atras,apesar do produto nao vir ao identico da compra realizada pq tenho o print da balanca eu recomendo a loja mais agora com um pe atras,"['apesar', 'do', 'produto', 'nao', 'vir', 'ao', 'identico', 'da', 'compra', 'realizada', 'pq', 'tenho', 'print', 'da', 'balanca', 'eu', 'recomendo', 'loja', 'mais', 'agora', 'com', 'um', 'pe', 'atras']",,3,-1,1
88046,Muito bom,muito bom,"['muito', 'bom']",1.0,5,8,8
40434,"deveria ter a opção de entrega mais rapida, obviamento com o custo equivalente, para os casos de urgencia no recebimento do produto.","deveria ter a opcao de entrega mais rapida, obviamento com o custo equivalente, para os casos de urgencia no recebimento do produto.","['deveria', 'ter', 'opcao', 'de', 'entrega', 'mais', 'rapida', 'obviamento', 'com', 'custo', 'equivalente', 'para', 'os', 'casos', 'de', 'urgencia', 'no', 'recebimento', 'do', 'produto']",1.0,4,2,2
12790,Prazo de entrega muito longo! 20 dias pra entregar um boneco e com pagamento de frete de 24.90 de frete! Esperava mais rapidez na entrega! ,prazo de entrega muito longo! 20 dias pra entregar um boneco e com pagamento de frete de 24.90 de frete! esperava mais rapidez na entrega! ,"['prazo', 'de', 'entrega', 'muito', 'longo', '20', 'dias', 'pra', 'entregar', 'um', 'boneco', 'com', 'pagamento', 'de', 'frete', 'de', '24', '90', 'de', 'frete', 'esperava', 'mais', 'rapidez', 'na', 'entrega']",,3,-1,8
32243,Ótimo produto,otimo produto,"['otimo', 'produto']",1.0,4,6,6
20663,"Quadro bonito e bem feito, otimo custo beneficio.","quadro bonito e bem feito, otimo custo beneficio.","['quadro', 'bonito', 'bem', 'feito', 'otimo', 'custo', 'beneficio']",1.0,5,7,7
45928,Vcs entregam um produto e o outro comprado no mesmo dia e para o mesmo endereco não chega pq dizem que o endereço está errado. Um absurdo!,vcs entregam um produto e o outro comprado no mesmo dia e para o mesmo endereco nao chega pq dizem que o endereco esta errado. um absurdo!,"['vcs', 'entregam', 'um', 'produto', 'outro', 'comprado', 'no', 'mesmo', 'dia', 'para', 'mesmo', 'endereco', 'nao', 'chega', 'pq', 'dizem', 'que', 'endereco', 'esta', 'errado', 'um', 'absurdo']",0.0,1,8,8
28791,Entrega rápida...,entrega rapida...,"['entrega', 'rapida']",1.0,5,9,9
49477,quero saber o motivo de não ter sido entregue o produto - 2 pares de anjos de rede,quero saber o motivo de nao ter sido entregue o produto - 2 pares de anjos de rede,"['quero', 'saber', 'motivo', 'de', 'nao', 'ter', 'sido', 'entregue', 'produto', 'pares', 'de', 'anjos', 'de', 'rede']",,3,-1,3
81379,"Entrega super rápida , os produtos são bons porém vem todos iguais achei disnecessario vou ficar com muitos pincéis sem usar pelo fato de serem iguais.","entrega super rapida , os produtos sao bons porem vem todos iguais achei disnecessario vou ficar com muitos pinceis sem usar pelo fato de serem iguais.","['entrega', 'super', 'rapida', 'os', 'produtos', 'sao', 'bons', 'porem', 'vem', 'todos', 'iguais', 'achei', 'disnecessario', 'vou', 'ficar', 'com', 'muitos', 'pinceis', 'sem', 'usar', 'pelo', 'fato', 'de', 'serem', 'iguais']",0.0,1,8,8
